thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixtion.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,0,10,[0.3883333333333333],[-0.345],[1],[0],[0],[2.8744433000000527],['target'],10,0,10,0,42.14498679999997,,10,42.124578499999984,42.14498679999997,42.14498679999997,0.059248599999932594,44.99983929999996,[0.3883333333333333],[-0.345],[1],[0],[0],[2.8744433000000527],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
11,0,11,[-0.0033333333333333335],[0.05333333333333334],[1],[0],[0],[5.9424785999999585],['target'],11,0,11,0,45.03864379999993,,5,45.022335099999964,45.03864379999993,45.03864379999993,0.02228930000001128,50.96554919999994,[-0.0033333333333333335],[0.05333333333333334],[1],[0],[0],[5.9424785999999585],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
12,0,12,[0.3516666666666667],[-0.10166666666666667],[1],[0],[0],[2.4186793999999736],['target'],12,0,12,0,51.012258199999906,,5,50.99639659999991,51.012258199999906,51.012258199999906,0.030537700000081713,53.415797899999916,[0.3516666666666667],[-0.10166666666666667],[1],[0],[0],[2.4186793999999736],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
13,0,13,[0.4766666666666667],[0.2866666666666667],[1],[0],[0],[2.557967500000018],['target'],13,0,13,0,53.50766599999997,,10,53.47484599999996,53.50766599999997,53.50766599999997,0.058787499999994,56.03372649999994,[0.4766666666666667],[0.2866666666666667],[1],[0],[0],[2.557967500000018],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
14,0,14,[0.3283333333333333],[0.11833333333333333],[1],[0],[0],[1.6955601999999317],['target'],14,0,14,0,56.10916759999998,,10,56.08650429999989,56.10916759999998,56.10916759999998,0.05238459999998213,57.78283179999994,[0.3283333333333333],[0.11833333333333333],[1],[0],[0],[1.6955601999999317],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
15,0,15,[-0.38666666666666666],[0.33666666666666667],[1],[0],[0],[2.7715615000000753],['target'],15,0,15,0,57.84782359999997,,10,57.8264901,57.84782359999997,57.84782359999997,0.04340700000000197,60.598954299999946,[-0.38666666666666666],[0.33666666666666667],[1],[0],[0],[2.7715615000000753],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
16,0,16,[-0.2916666666666667],[-0.12166666666666667],[1],[0],[0],[1.8661480000000665],['target'],16,0,16,0,60.649968299999955,,5,60.63050099999998,60.649968299999955,60.649968299999955,0.031182699999931174,62.49730349999993,[-0.2916666666666667],[-0.12166666666666667],[1],[0],[0],[1.8661480000000665],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
17,0,17,[0.49166666666666664],[0.03666666666666667],[1],[0],[0],[2.1066821999999092],['target'],17,0,17,0,62.562802399999896,,10,62.54053739999995,62.562802399999896,62.562802399999896,0.04303939999999784,64.6479359,[0.49166666666666664],[0.03666666666666667],[1],[0],[0],[2.1066821999999092],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
18,0,18,[0.31666666666666665],[-0.43833333333333335],[1],[0],[0],[2.443370800000025],['target'],18,0,18,0,64.71322049999992,,10,64.6913646999999,64.71322049999992,64.71322049999992,0.04318200000000161,67.13570199999992,[0.31666666666666665],[-0.43833333333333335],[1],[0],[0],[2.443370800000025],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
19,0,19,[0.3566666666666667],[0.13666666666666666],[1],[0],[0],[2.479413900000054],['target'],19,0,19,0,67.19300549999991,,5,67.17036509999991,67.19300549999991,67.19300549999991,0.034282299999972565,69.65063939999993,[0.3566666666666667],[0.13666666666666666],[1],[0],[0],[2.479413900000054],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
20,0,20,[-0.09333333333333334],[0.03833333333333333],[1],[0],[0],[2.0719371999999794],['target'],20,0,20,0,69.71564539999997,,10,69.6944140999999,69.71564539999997,69.71564539999997,0.04357330000004822,71.76716829999998,[-0.09333333333333334],[0.03833333333333333],[1],[0],[0],[2.0719371999999794],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
21,0,21,[-0.39666666666666667],[0.4866666666666667],[1],[0],[0],[4.275023799999985],['target'],21,0,21,0,71.8476063999999,,10,71.82568459999993,71.8476063999999,71.8476063999999,0.057983200000080615,76.10173769999994,[-0.39666666666666667],[0.4866666666666667],[1],[0],[0],[4.275023799999985],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
22,0,22,[-0.27166666666666667],[-0.33],[1],[0],[0],[2.8562423000000763],['target'],22,0,22,0,76.18178439999997,,10,76.1590657999999,76.18178439999997,76.18178439999997,0.056743500000038694,79.01603809999995,[-0.27166666666666667],[-0.33],[1],[0],[0],[2.8562423000000763],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
23,0,23,[0.018333333333333333],[-0.415],[1],[0],[0],[1.582840899999951],['target'],23,0,23,0,79.05463889999999,,5,79.03873579999993,79.05463889999999,79.05463889999999,0.022457000000031258,80.62236489999998,[0.018333333333333333],[-0.415],[1],[0],[0],[1.582840899999951],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
24,0,24,[0.4166666666666667],[0.165],[1],[0],[0],[2.2280064000000266],['target'],24,0,24,0,80.6726081999999,,5,80.65545249999991,80.6726081999999,80.6726081999999,0.0325598000000582,82.88415989999999,[0.4166666666666667],[0.165],[1],[0],[0],[2.2280064000000266],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
25,0,25,[-0.07333333333333333],[-0.29833333333333334],[1],[0],[0],[2.733407599999964],['target'],25,0,25,0,82.95623049999995,,10,82.93493449999994,82.95623049999995,82.95623049999995,0.05053259999999682,85.66925729999991,[-0.07333333333333333],[-0.29833333333333334],[1],[0],[0],[2.733407599999964],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
26,0,26,[0.055],[-0.02],[1],[0],[0],[2.2013451999999916],['target'],26,0,26,0,85.71730309999998,,5,85.70117089999997,85.71730309999998,85.71730309999998,0.03134130000000823,87.90332509999996,[0.055],[-0.02],[1],[0],[0],[2.2013451999999916],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
27,0,27,[-0.43666666666666665],[0.14],[1],[0],[0],[3.015287199999989],['target'],27,0,27,0,87.97495809999998,,10,87.95244189999994,87.97495809999998,87.97495809999998,0.048844000000030974,90.96877869999992,[-0.43666666666666665],[0.14],[1],[0],[0],[3.015287199999989],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
28,0,28,[0.43833333333333335],[0.17333333333333334],[1],[0],[0],[3.2483023000000912],['target'],28,0,28,0,91.05929909999998,,10,91.03389259999994,91.05929909999998,91.05929909999998,0.06447029999992537,94.28291499999989,[0.43833333333333335],[0.17333333333333334],[1],[0],[0],[3.2483023000000912],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
29,0,29,[0.4683333333333333],[-0.20666666666666667],[1],[0],[0],[1.8897680000000037],['target'],29,0,29,0,94.35452629999997,,10,94.33185379999998,94.35452629999997,94.35452629999997,0.048698399999921094,96.22248489999993,[0.4683333333333333],[-0.20666666666666667],[1],[0],[0],[1.8897680000000037],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
30,0,30,[-0.38],[-0.4216666666666667],[1],[0],[0],[3.2446469999999863],['target'],30,0,30,0,96.27397919999999,,5,96.2554361,96.27397919999999,96.27397919999999,0.03257379999990917,99.50086899999997,[-0.38],[-0.4216666666666667],[1],[0],[0],[3.2446469999999863],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
31,0,31,[0.31166666666666665],[-0.09],[1],[0],[0],[4.0626002999999855],['target'],31,0,31,0,99.57504559999995,,10,99.55377219999991,99.57504559999995,99.57504559999995,0.052604299999984505,103.61710459999995,[0.31166666666666665],[-0.09],[1],[0],[0],[4.0626002999999855],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
32,0,32,[-0.09],[0.09666666666666666],[1],[0],[0],[1.7466835000000174],['target'],32,0,32,0,103.69220639999992,,10,103.66954159999989,103.69220639999992,103.69220639999992,0.05202859999997145,105.41692899999998,[-0.09],[0.09666666666666666],[1],[0],[0],[1.7466835000000174],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
33,0,33,[-0.235],[0.0033333333333333335],[1],[0],[0],[1.9225652000000082],['target'],33,0,33,0,105.48164099999997,,10,105.46001409999997,105.48164099999997,105.48164099999997,0.0428438000000142,107.38325039999995,[-0.235],[0.0033333333333333335],[1],[0],[0],[1.9225652000000082],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
34,0,34,[0.22833333333333333],[0.33],[1],[0],[0],[1.8562653999999839],['target'],34,0,34,0,107.43164059999992,,5,107.4120152999999,107.43164059999992,107.43164059999992,0.028533100000004197,109.26911659999996,[0.22833333333333333],[0.33],[1],[0],[0],[1.8562653999999839],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
35,0,35,[-0.12833333333333333],[0.4633333333333333],[1],[0],[0],[2.263063699999975],['target'],35,0,35,0,109.30614259999993,,5,109.29104749999999,109.30614259999993,109.30614259999993,0.0217281999999841,111.55502969999998,[-0.12833333333333333],[0.4633333333333333],[1],[0],[0],[2.263063699999975],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
36,0,36,[0.255],[0.325],[1],[0],[0],[1.6285950000000184],['target'],36,0,36,0,111.64405609999994,,10,111.62160289999997,111.64405609999994,111.64405609999994,0.06624839999994947,113.25096379999991,[0.255],[0.325],[1],[0],[0],[1.6285950000000184],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
37,0,37,[0.01],[-0.4166666666666667],[1],[0],[0],[2.546715699999936],['target'],37,0,37,0,113.33562649999999,,10,113.30704629999991,113.33562649999999,113.33562649999999,0.05576640000003863,115.8545830999999,[0.01],[-0.4166666666666667],[1],[0],[0],[2.546715699999936],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
38,0,38,[-0.14666666666666667],[0.15],[1],[0],[0],[3.271788800000081],['target'],38,0,38,0,115.92062539999995,,10,115.89768049999998,115.92062539999995,115.92062539999995,0.042823199999929784,119.17038009999999,[-0.14666666666666667],[0.15],[1],[0],[0],[3.271788800000081],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
39,0,39,[0.39666666666666667],[0.015],[1],[0],[0],[2.2165436999999883],['target'],39,0,39,0,119.22139709999999,,5,119.20189429999994,119.22139709999999,119.22139709999999,0.03091479999989133,121.41922369999997,[0.39666666666666667],[0.015],[1],[0],[0],[2.2165436999999883],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
40,0,40,[-0.3933333333333333],[-0.36],[1],[0],[0],[3.5748446999999715],['target'],40,0,40,0,121.49839539999994,,10,121.47749949999991,121.49839539999994,121.49839539999994,0.05781190000004699,125.05337609999992,[-0.3933333333333333],[-0.36],[1],[0],[0],[3.5748446999999715],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
41,0,41,[-0.4533333333333333],[0.45],[1],[0],[0],[3.129635300000018],['target'],41,0,41,0,125.1054519999999,,5,125.08725809999999,125.1054519999999,125.1054519999999,0.03322519999994711,128.2175479,[-0.4533333333333333],[0.45],[1],[0],[0],[3.129635300000018],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
42,0,42,[0.35833333333333334],[-0.43666666666666665],[1],[0],[0],[2.3420442999999977],['target'],42,0,42,0,128.2552520999999,,5,128.24120499999992,128.2552520999999,128.2552520999999,0.02345629999990706,130.58401089999995,[0.35833333333333334],[-0.43666666666666665],[1],[0],[0],[2.3420442999999977],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
43,0,43,[-0.27],[-0.215],[1],[0],[0],[2.517456700000025],['target'],43,0,43,0,130.63089479999996,,5,130.6150684999999,130.63089479999996,130.63089479999996,0.030870700000036777,133.13318229999993,[-0.27],[-0.215],[1],[0],[0],[2.517456700000025],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
44,0,44,[0.056666666666666664],[-0.25833333333333336],[1],[0],[0],[2.4710685000000012],['target'],44,0,44,0,133.20085719999997,,10,133.1785218,133.20085719999997,133.20085719999997,0.04511450000006789,135.6502734999999,[0.056666666666666664],[-0.25833333333333336],[1],[0],[0],[2.4710685000000012],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
45,0,45,[-0.3383333333333333],[0.095],[1],[0],[0],[1.812280200000032],['target'],45,0,45,0,135.68652869999994,,5,135.6717445999999,135.68652869999994,135.68652869999994,0.02123170000004393,137.48484869999993,[-0.3383333333333333],[0.095],[1],[0],[0],[1.812280200000032],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
46,0,46,[0.10166666666666667],[-0.20833333333333334],[1],[0],[0],[2.9735787000000755],['target'],46,0,46,0,137.55159629999991,,10,137.5275281999999,137.55159629999991,137.55159629999991,0.042485900000087895,140.50180279999995,[0.10166666666666667],[-0.20833333333333334],[1],[0],[0],[2.9735787000000755],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
47,0,47,[-0.39],[0.41333333333333333],[1],[0],[0],[1.9950577000000749],['target'],47,0,47,0,140.53990679999993,,5,140.52431349999995,140.53990679999993,140.53990679999993,0.022271199999977398,142.52006949999998,[-0.39],[0.41333333333333333],[1],[0],[0],[1.9950577000000749],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
48,0,48,[-0.175],[-0.14833333333333334],[1],[0],[0],[1.9447631000000456],['target'],48,0,48,0,142.55759339999997,,5,142.5419824999999,142.55759339999997,142.55759339999997,0.021709800000053292,144.48770439999998,[-0.175],[-0.14833333333333334],[1],[0],[0],[1.9447631000000456],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
49,0,49,[-0.28],[-0.20666666666666667],[1],[0],[0],[3.0112367000000404],['target'],49,0,49,0,144.52495039999997,,5,144.50927839999997,144.52495039999997,144.52495039999997,0.02119819999995798,147.52130249999993,[-0.28],[-0.20666666666666667],[1],[0],[0],[3.0112367000000404],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
50,0,50,[-0.23833333333333334],[0.15166666666666667],[1],[0],[0],[1.94791459999999],['target'],50,0,50,0,147.57190689999993,,5,147.5539366999999,147.57190689999993,147.57190689999993,0.03233420000003662,149.5026388,[-0.23833333333333334],[0.15166666666666667],[1],[0],[0],[1.94791459999999],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
51,0,51,[-0.44333333333333336],[-0.31],[1],[0],[0],[1.783046000000013],['target'],51,0,51,0,149.5546243,,5,149.53469569999993,149.5546243,149.5546243,0.03174709999996139,151.31838819999996,[-0.44333333333333336],[-0.31],[1],[0],[0],[1.783046000000013],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
52,0,52,[0.445],[0.24333333333333335],[1],[0],[0],[1.6941604000001007],['target'],52,0,52,0,151.35654319999992,,5,151.34121749999997,151.35654319999992,151.35654319999992,0.022639499999968393,153.03612039999996,[0.445],[0.24333333333333335],[1],[0],[0],[1.6941604000001007],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
53,0,53,[-0.39],[0.4866666666666667],[1],[0],[0],[2.098229599999968],['target'],53,0,53,0,153.08837229999995,,5,153.0693877,153.08837229999995,153.08837229999995,0.03296899999998004,155.1682459,[-0.39],[0.4866666666666667],[1],[0],[0],[2.098229599999968],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
54,0,54,[0.4533333333333333],[0.155],[1],[0],[0],[2.061125400000037],['target'],54,0,54,0,155.20652199999995,,5,155.1911796999999,155.20652199999995,155.20652199999995,0.022744800000054965,157.25309779999998,[0.4533333333333333],[0.155],[1],[0],[0],[2.061125400000037],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
55,0,55,[0.058333333333333334],[-0.37833333333333335],[1],[0],[0],[2.2151198999999906],['target'],55,0,55,0,157.32669399999997,,10,157.3046675999999,157.32669399999997,157.32669399999997,0.05138169999997899,159.5204816999999,[0.058333333333333334],[-0.37833333333333335],[1],[0],[0],[2.2151198999999906],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
56,0,56,[-0.42],[-0.43],[1],[0],[0],[3.743817100000001],['target'],56,0,56,0,159.5608865999999,,5,159.5432219999999,159.5608865999999,159.5608865999999,0.022494299999948453,163.2878450999999,[-0.42],[-0.43],[1],[0],[0],[3.743817100000001],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
57,0,57,[0.09166666666666666],[0.045],[1],[0],[0],[1.673964700000056],['target'],57,0,57,0,163.3706246999999,,10,163.34417369999994,163.3706246999999,163.3706246999999,0.05605649999995421,165.01883729999997,[0.09166666666666666],[0.045],[1],[0],[0],[1.673964700000056],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
58,0,58,[-0.12666666666666668],[-0.09],[1],[0],[0],[2.146343799999954],['target'],58,0,58,0,165.0987882999999,,10,165.07381479999992,165.0987882999999,165.0987882999999,0.05475699999999506,167.2208126999999,[-0.12666666666666668],[-0.09],[1],[0],[0],[2.146343799999954],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
59,0,59,[-0.45666666666666667],[-0.04],[1],[0],[0],[1.7140267999999423],['target'],59,0,59,0,167.29573419999997,,10,167.27291479999997,167.29573419999997,167.29573419999997,0.05183980000003885,168.98771979999992,[-0.45666666666666667],[-0.04],[1],[0],[0],[1.7140267999999423],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
60,0,60,[0.04833333333333333],[0.2733333333333333],[1],[0],[0],[1.8826867999999877],['target'],60,0,60,0,169.06507249999993,,10,169.0392953999999,169.06507249999993,169.06507249999993,0.05125729999997475,170.92285629999992,[0.04833333333333333],[0.2733333333333333],[1],[0],[0],[1.8826867999999877],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
61,0,61,[0.29],[0.15666666666666668],[1],[0],[0],[1.7793078999999352],['target'],61,0,61,0,171.00230979999992,,10,170.97735079999995,171.00230979999992,171.00230979999992,0.05410340000003089,172.7576052999999,[0.29],[0.15666666666666668],[1],[0],[0],[1.7793078999999352],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
62,0,62,[-0.395],[-0.06833333333333333],[1],[0],[0],[1.9819569000000001],['target'],62,0,62,0,172.81316949999996,,5,172.78790479999998,172.81316949999996,172.81316949999996,0.02991959999997107,174.77088279999998,[-0.395],[-0.06833333333333333],[1],[0],[0],[1.9819569000000001],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
63,0,63,[0.18333333333333332],[0.4083333333333333],[1],[0],[0],[1.9047299000000066],['target'],63,0,63,0,174.86135319999994,,10,174.8335823,174.86135319999994,174.86135319999994,0.06238029999997252,176.73921769999993,[0.18333333333333332],[0.4083333333333333],[1],[0],[0],[1.9047299000000066],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
