thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixtion.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[0.08],[-0.08],[1],[0],[0],[2.890106199999991],['target'],0,0,0,0,0.13941649999992478,,10,0.09299549999991541,0.13941649999992478,0.13941649999992478,0.09250750000001062,2.983950199999981,[0.08],[-0.08],[1],[0],[0],[2.890106199999991],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
1,0,1,[-0.21333333333333335],[-0.215],[1],[0],[0],[2.702429400000028],['target'],1,0,1,0,3.0315488999999616,,5,3.012313499999891,3.0315488999999616,3.0315488999999616,0.028086199999961536,5.7155007999999725,[-0.21333333333333335],[-0.215],[1],[0],[0],[2.702429400000028],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
2,0,2,[-0.275],[-0.43],[1],[0],[0],[3.3506351999999424],['target'],2,0,2,0,5.764750499999991,,5,5.746897799999942,5.764750499999991,5.764750499999991,0.030995500000017273,9.098614899999916,[-0.275],[-0.43],[1],[0],[0],[3.3506351999999424],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
3,0,3,[-0.48333333333333334],[0.2833333333333333],[1],[0],[0],[14.496524700000009],['target'],3,0,3,0,9.151405599999975,,5,9.131639699999937,9.151405599999975,9.151405599999975,0.032489899999973204,23.62891599999989,[-0.48333333333333334],[0.2833333333333333],[1],[0],[0],[14.496524700000009],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
4,0,4,[-0.2866666666666667],[0.11333333333333333],[1],[0],[0],[3.18234659999996],['target'],4,0,4,0,23.703622299999893,,10,23.681413699999894,23.703622299999893,23.703622299999893,0.05229640000004565,26.864582499999983,[-0.2866666666666667],[0.11333333333333333],[1],[0],[0],[3.18234659999996],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
5,0,5,[-0.37833333333333335],[0.2683333333333333],[1],[0],[0],[2.7824329000000034],['target'],5,0,5,0,26.9148457,,5,26.898038699999915,26.9148457,26.9148457,0.033076000000050954,29.681240199999934,[-0.37833333333333335],[0.2683333333333333],[1],[0],[0],[2.7824329000000034],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
6,0,6,[0.24166666666666667],[0.25333333333333335],[1],[0],[0],[2.725765200000069],['target'],6,0,6,0,29.71984199999997,,5,29.703748699999892,29.71984199999997,29.71984199999997,0.022303899999997157,32.43020299999989,[0.24166666666666667],[0.25333333333333335],[1],[0],[0],[2.725765200000069],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
7,0,7,[0.42333333333333334],[-0.13833333333333334],[1],[0],[0],[2.442050999999992],['target'],7,0,7,0,32.47000049999997,,5,32.45410069999991,32.47000049999997,32.47000049999997,0.023693600000001425,34.896889399999964,[0.42333333333333334],[-0.13833333333333334],[1],[0],[0],[2.442050999999992],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
8,0,8,[0.26166666666666666],[-0.135],[1],[0],[0],[2.963773100000026],['target'],8,0,8,0,34.93479119999995,,5,34.91934709999998,34.93479119999995,34.93479119999995,0.022264599999971324,37.88403509999989,[0.26166666666666666],[-0.135],[1],[0],[0],[2.963773100000026],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
9,0,9,[-0.3283333333333333],[-0.4166666666666667],[1],[0],[0],[4.128327399999989],['target'],9,0,9,0,37.96871809999993,,10,37.93571559999998,37.96871809999993,37.96871809999993,0.051332000000002154,42.06493039999998,[-0.3283333333333333],[-0.4166666666666667],[1],[0],[0],[4.128327399999989],['target'],013905,001,2024-10-10_13h40.50.529,visual search,2024.2.1post4,59.42844102558148,2024-10-10 13h41.46.975784 +0530,
