17.8564 	INFO 	Loaded monitor calibration from ['2024_08_09 00:19']
17.9296 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
18.8718 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001558CEA9450>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001558CEA93F0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001558CEA9240>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000015582DFEEF0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
18.8719 	EXP 	window1: backgroundImage = ''
18.8719 	EXP 	window1: backgroundFit = 'none'
18.8731 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001558CEA9570>
18.8761 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001558CEA9570>
18.8929 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001558CEA9570>
18.8956 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001558CEA9570>
18.9920 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001558CEA9570>
18.9938 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001558CEA9570>
18.9958 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001558CEA9570>
18.9977 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001558CEA9570>
19.0262 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
19.0263 	EXP 	window1: recordFrameIntervals = False
19.5953 	EXP 	window1: recordFrameIntervals = True
19.6307 	WARNING 	t of last frame was 20.67ms (=1/48)
19.6516 	WARNING 	t of last frame was 20.99ms (=1/47)
19.6934 	WARNING 	t of last frame was 24.91ms (=1/40)
19.8609 	EXP 	Screen (0) actual frame rate measured at 59.88Hz
19.8609 	EXP 	window1: recordFrameIntervals = False
19.8613 	EXP 	window1: mouseVisible = False
25.5069 	INFO 	keyboard.Keyboard is using iohub backend.
