8.5329 	INFO 	Loaded monitor calibration from ['2024_08_09 00:19']
8.5634 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
8.9382 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001115DF668C0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001115DF66860>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001115DF66DA0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001115D454BB0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.9383 	EXP 	window1: backgroundImage = ''
8.9383 	EXP 	window1: backgroundFit = 'none'
8.9399 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001115DF669E0>
8.9419 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001115DF669E0>
8.9493 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001115DF669E0>
8.9513 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001115DF669E0>
9.0310 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001115DF669E0>
9.0321 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001115DF669E0>
9.0342 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001115DF669E0>
9.0364 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001115DF669E0>
9.0621 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.0621 	EXP 	window1: recordFrameIntervals = False
9.3554 	EXP 	window1: recordFrameIntervals = True
9.5378 	EXP 	Screen (0) actual frame rate measured at 59.94Hz
9.5378 	EXP 	window1: recordFrameIntervals = False
9.5385 	EXP 	window1: mouseVisible = True
13.5579 	INFO 	keyboard.Keyboard is using iohub backend.
13.5579 	EXP 	wordpriming: status = STARTED
13.5587 	EXP 	window1: mouseVisible = True
13.6160 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
13.6390 	EXP 	window1: mouseVisible = True
13.6418 	EXP 	window1: mouseVisible = True
13.6419 	EXP 	window1: mouseVisible = True
13.6427 	EXP 	window1: mouseVisible = True
13.6434 	EXP 	window1: mouseVisible = True
13.6640 	EXP 	window1: mouseVisible = True
13.6642 	EXP 	window1: mouseVisible = True
13.6654 	EXP 	window1: mouseVisible = True
13.6665 	EXP 	window1: mouseVisible = True
13.6820 	EXP 	window1: mouseVisible = True
13.6824 	EXP 	window1: mouseVisible = True
13.6841 	EXP 	window1: mouseVisible = True
13.6859 	EXP 	window1: mouseVisible = True
13.7114 	EXP 	window1: mouseVisible = True
13.7117 	EXP 	window1: mouseVisible = True
13.7134 	EXP 	window1: mouseVisible = True
13.7151 	EXP 	window1: mouseVisible = True
13.7257 	EXP 	window1: mouseVisible = True
13.7312 	EXP 	window1: mouseVisible = True
