study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
mouse,10,10,0,1.0,1.281028499999593,,,,,,,,,,,,0,10,10,14,,,,,23.827464200000577,,23.802667400000246,23.827464200000577,23.827464200000577,25.112370300000293,1.0,1.281028499999593,,,,,,,,,,,,,,,485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
phone,11,11,0,1.9925925925925927,2.080977599999642,,,,,,,,,,,,0,11,11,5,,,,,25.144392200000766,,25.117621000000327,25.144392200000766,25.144392200000766,27.229682500000308,1.9925925925925927,2.080977599999642,,,,,,,,,,,,,,,485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
vase,12,12,0,2.977777777777778,1.6605876000003263,,,,,,,,,,,,0,12,12,0,,,,,27.26376700000037,,27.238647000000128,27.26376700000037,27.26376700000037,28.929718400000638,2.977777777777778,1.6605876000003263,,,,,,,,,,,,,,,485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
pastry,13,13,0,1.9555555555555555,1.89608059999955,,,,,,,,,,,,0,13,13,8,,,,,28.960999100000663,,28.936775600000146,28.960999100000663,28.960999100000663,30.863143600000512,1.9555555555555555,1.89608059999955,,,,,,,,,,,,,,,485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
orange,14,14,0,5,2.093750299999556,,,,,,,,,,,,0,14,14,9,,,,,30.894515599999977,,30.870252700000492,30.894515599999977,30.894515599999977,32.98196650000045,5,2.093750299999556,,,,,,,,,,,,,,,485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
,0,0,0,,,m_u_e,mouse,old,mouse,[0.10555555555555556],[-0.3074074074074074],[1],[0],[0],[5.472371900000326],['text_3'],,,,,0,0,0,14,33.02044389999992,,,,,,,,32.99579910000011,33.02044389999992,33.02044389999992,33.02044389999992,0.013827599999785889,38.46934770000007,mouse,[0.10555555555555556],[-0.3074074074074074],[1],[0],[0],[5.472371900000326],['text_3'],485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
,1,1,0,,,_ar_l_,marble,old,marb,[],[],[],[],[],[],[],,,,,0,1,1,12,38.49894260000019,,,,,,,,38.474844600000324,38.49894260000019,38.49894260000019,38.49894260000019,0.005199399999582965,48.48067560000072,marb,[],[],[],[],[],[],[],485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
,2,2,0,,,_a_t_p,laptop,old,laptop,[0.07685185185185185],[-0.3055555555555556],[1],[0],[0],[8.626955200000339],['text_3'],,,,,0,2,2,7,48.51172470000074,,,,,,,,48.4868862000003,48.51172470000074,48.51172470000074,48.51172470000074,0.017240799999854062,57.115083000000595,laptop,[0.07685185185185185],[-0.3055555555555556],[1],[0],[0],[8.626955200000339],['text_3'],485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
,3,3,0,,,_oo_,book,old,book,[0.07685185185185185],[-0.3055555555555556],[1],[0],[0],[5.51338080000005],['text_3'],,,,,0,3,3,2,57.14566530000047,,,,,,,,57.1198787000003,57.14566530000047,57.14566530000047,57.14566530000047,0.004561299999295443,62.63442400000076,book,[0.07685185185185185],[-0.3055555555555556],[1],[0],[0],[5.51338080000005],['text_3'],485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
,4,4,0,,,_as_r_,pastry,old,pastry,[0.07685185185185185],[-0.3055555555555556],[1],[0],[0],[9.3959818000003],['text_3'],,,,,0,4,4,8,62.66249570000036,,,,,,,,62.639714599999934,62.66249570000036,62.66249570000036,62.66249570000036,0.0050640999997995095,72.03692219999994,pastry,[0.07685185185185185],[-0.3055555555555556],[1],[0],[0],[9.3959818000003],['text_3'],485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
,5,5,0,,,c_s_i_n,cushion,old,cushion,[0.07685185185185185],[-0.3055555555555556],[1],[0],[0],[9.591440300000613],['text_3'],,,,,0,5,5,3,72.06444680000004,,,,,,,,72.04211190000024,72.06444680000004,72.06444680000004,72.06444680000004,0.0049619999999777065,81.63477070000044,cushion,[0.07685185185185185],[-0.3055555555555556],[1],[0],[0],[9.591440300000613],['text_3'],485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
,6,6,0,,,b_a_d,board,old,,[],[],[],[],[],[],[],,,,,0,6,6,13,81.66337380000004,,,,,,,,81.6399652,81.66337380000004,81.66337380000004,81.66337380000004,0.004970599999978731,91.6361579000004,,[],[],[],[],[],[],[],485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
,7,7,0,,,c_m_r_,camera,old,camera,[0.07685185185185185],[-0.3055555555555556],[1],[0],[0],[6.610389399999804],['text_3'],,,,,0,7,7,6,91.66594910000003,,,,,,,,91.64154560000043,91.66594910000003,91.66594910000003,91.66594910000003,0.006548599999405269,98.2531155000006,camera,[0.07685185185185185],[-0.3055555555555556],[1],[0],[0],[6.610389399999804],['text_3'],485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
,8,8,0,,,o_a_g_,orange,old,orange,[0.06481481481481481],[-0.29259259259259257],[1],[0],[0],[6.991220200000498],['text_3'],,,,,0,8,8,9,98.28496240000004,,,,,,,,98.25848219999989,98.28496240000004,98.28496240000004,98.28496240000004,0.005048500000157219,105.25110490000043,orange,[0.06481481481481481],[-0.29259259259259257],[1],[0],[0],[6.991220200000498],['text_3'],485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
,9,9,0,,,b_tt_e,bottle,new,battle,[0.06481481481481481],[-0.30185185185185187],[1],[0],[0],[5.851949299999433],['text_3'],,,,,0,9,9,17,105.28094450000026,,,,,,,,105.25646140000026,105.28094450000026,105.28094450000026,105.28094450000026,0.00506870000026538,111.10963979999997,battle,[0.06481481481481481],[-0.30185185185185187],[1],[0],[0],[5.851949299999433],['text_3'],485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
,10,10,0,,,_ia_o,piano,old,,[],[],[],[],[],[],[],,,,,0,10,10,4,111.13950770000065,,,,,,,,111.11644830000023,111.13950770000065,111.13950770000065,111.13950770000065,0.006589700000404264,121.11540920000061,,[],[],[],[],[],[],[],485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
,11,11,0,,,t_b_e,table,new,table,[],[],[],[],[],[],[],,,,,0,11,11,16,121.14845280000009,,,,,,,,121.12068220000037,121.14845280000009,121.14845280000009,121.14845280000009,0.01082360000054905,131.11605750000035,table,[],[],[],[],[],[],[],485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
,12,12,0,,,_h_r_,chart,new,,[0.08425925925925926],[-0.3101851851851852],[1],[0],[0],[0.22035830000004353],['text_3'],,,,,0,12,12,18,131.14879440000004,,,,,,,,131.12122,131.14879440000004,131.14879440000004,131.14879440000004,0.01135840000006283,131.34270809999998,,[0.08425925925925926],[-0.3101851851851852],[1],[0],[0],[0.22035830000004353],['text_3'],485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
,13,13,0,,,k_y_,keys,old,keys,[],[],[],[],[],[],[],,,,,0,13,13,10,131.36936210000022,,,,,,,,131.34689100000014,131.36936210000022,131.36936210000022,131.36936210000022,0.004033000000163156,141.3497909000007,keys,[],[],[],[],[],[],[],485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
,14,14,0,,,t_g_r,tiger,old,tiger,[0.08425925925925926],[-0.3101851851851852],[1],[0],[0],[8.08265350000056],['text_3'],,,,,0,14,14,1,141.3825852,,,,,,,,141.35517340000024,141.3825852,141.3825852,141.3825852,0.012302199999794539,149.4392510000007,tiger,[0.08425925925925926],[-0.3101851851851852],[1],[0],[0],[8.08265350000056],['text_3'],485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
,15,15,0,,,p_l_ce,police,old,palace,[],[],[],[],[],[],[],,,,,0,15,15,11,149.4683842000004,,,,,,,,149.44478729999992,149.4683842000004,149.4683842000004,149.4683842000004,0.005224900000030175,159.4562962,palace,[],[],[],[],[],[],[],485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
,16,16,0,,,_r_i_e,cruise,new,arise,[0.08425925925925926],[-0.3101851851851852],[1],[0],[0],[9.00955569999951],['text_3'],,,,,0,16,16,19,159.48658870000054,,,,,,,,159.46253250000063,159.48658870000054,159.48658870000054,159.48658870000054,0.022971100000177103,168.4734268000002,arise,[0.08425925925925926],[-0.3101851851851852],[1],[0],[0],[9.00955569999951],['text_3'],485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
,17,17,0,,,_a_e,vase,old,vase,[0.08425925925925926],[-0.3101851851851852],[1],[0],[0],[6.739712100000361],['text_3'],,,,,0,17,17,0,168.5007738000004,,,,,,,,168.47903159999987,168.5007738000004,168.5007738000004,168.5007738000004,0.00538330000017595,175.22009040000012,vase,[0.08425925925925926],[-0.3101851851851852],[1],[0],[0],[6.739712100000361],['text_3'],485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
,18,18,0,,,p_o_e,phone,old,,[],[],[],[],[],[],[],,,,,0,18,18,5,175.2507830000004,,,,,,,,175.22567400000025,175.2507830000004,175.2507830000004,175.2507830000004,0.005352500000299187,185.22478170000068,,[],[],[],[],[],[],[],485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
,19,19,0,,,p__c_l,pencil,new,,[],[],[],[],[],[],[],,,,,0,19,19,15,185.25379880000037,,,,,,,,185.2303122000003,185.25379880000037,185.25379880000037,185.25379880000037,0.009991500000069209,195.24190050000016,,[],[],[],[],[],[],[],485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
