study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
piano,0,0,0,1.9777777777777779,4.51271159999942,,,,,,,,,,,,0,0,0,4,,,,,0.07006050000018149,,0.03463460000057239,0.07006050000018149,0.07006050000018149,4.578512099999898,1.9777777777777779,4.51271159999942,,,,,,,,,,,,,,,485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
keys,1,1,0,1,2.063486699999885,,,,,,,,,,,,0,1,1,10,,,,,4.611442800000077,,4.58548140000039,4.611442800000077,4.611442800000077,6.679349400000319,1,2.063486699999885,,,,,,,,,,,,,,,485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
board,2,2,0,1,1.0408489000001282,,,,,,,,,,,,0,2,2,13,,,,,6.7114793000000645,,6.691056200000276,6.7114793000000645,6.7114793000000645,7.761706100000083,1,1.0408489000001282,,,,,,,,,,,,,,,485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
tiger,3,3,0,3.011111111111111,2.2797611000005418,,,,,,,,,,,,0,3,3,1,,,,,7.7934494999999515,,7.768167500000345,7.7934494999999515,7.7934494999999515,10.079428000000007,3.011111111111111,2.2797611000005418,,,,,,,,,,,,,,,485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
police,4,4,0,3.011111111111111,1.1776640999996744,,,,,,,,,,,,0,4,4,11,,,,,10.110746100000142,,10.086378400000285,10.110746100000142,10.110746100000142,11.28548850000061,3.011111111111111,1.1776640999996744,,,,,,,,,,,,,,,485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
laptop,5,5,0,5,2.9258804999999484,,,,,,,,,,,,0,5,5,7,,,,,11.310129100000267,,11.290200400000685,11.310129100000267,11.310129100000267,14.245158300000185,5,2.9258804999999484,,,,,,,,,,,,,,,485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
book,6,6,0,2.0185185185185186,2.0008378000002267,,,,,,,,,,,,0,6,6,2,,,,,14.264574400000129,,14.248174700000163,14.264574400000129,14.264574400000129,16.279648100000486,2.0185185185185186,2.0008378000002267,,,,,,,,,,,,,,,485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
camera,7,7,0,4.0,2.878310099999908,,,,,,,,,,,,0,7,7,6,,,,,16.310290100000202,,16.286578400000508,16.310290100000202,16.310290100000202,19.195794500000375,4.0,2.878310099999908,,,,,,,,,,,,,,,485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
marble,8,8,0,4.0,1.4817941999999675,,,,,,,,,,,,0,8,8,12,,,,,19.227346800000305,,19.200486900000215,19.227346800000305,19.227346800000305,20.71210190000056,4.0,1.4817941999999675,,,,,,,,,,,,,,,485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
cushion,9,9,0,1.0,3.048242599999867,,,,,,,,,,,,0,9,9,3,,,,,20.733152100000552,,20.71674410000014,20.733152100000552,20.733152100000552,23.796339999999873,1.0,3.048242599999867,,,,,,,,,,,,,,,485284,001,2024-11-03_03h20.22.889,wordpriming,2024.2.1post4,59.94485073718843,2024-11-03 03h20.30.672335 +0530,
