13.7740 	INFO 	Loaded monitor calibration from ['2024_08_09 00:19']
13.8412 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
14.6388 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001DCF758DA80>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001DCF758DA20>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001DCF758E2F0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001DCED5DD000>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.6390 	EXP 	window1: backgroundImage = ''
14.6390 	EXP 	window1: backgroundFit = 'none'
14.6395 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001DCF758DBA0>
14.6398 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001DCF758DBA0>
14.6576 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001DCF758DBA0>
14.6597 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001DCF758DBA0>
14.7680 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001DCF758DBA0>
14.7682 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001DCF758DBA0>
14.7701 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001DCF758DBA0>
14.7718 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001DCF758DBA0>
14.8041 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
14.8042 	EXP 	window1: recordFrameIntervals = False
15.1291 	EXP 	window1: recordFrameIntervals = True
15.3134 	EXP 	Screen (0) actual frame rate measured at 60.07Hz
15.3135 	EXP 	window1: recordFrameIntervals = False
15.3146 	EXP 	window1: mouseVisible = False
22.3348 	INFO 	keyboard.Keyboard is using iohub backend.
22.3350 	INFO 	keyboard.Keyboard is using iohub backend.
22.3351 	INFO 	keyboard.Keyboard is using iohub backend.
22.3351 	EXP 	TaskSwitching: status = STARTED
22.3357 	EXP 	window1: mouseVisible = False
22.7282 	EXP 	Created instruction_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instruction_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
22.7284 	EXP 	window1: mouseVisible = False
