thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixtion.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[0.004629629629629629],[0.2037037037037037],[1],[0],[0],[2.002770099992631],['target'],0,0,0,0,0.09451769999577664,,5,0.0571265000035055,0.09451769999577664,0.09451769999577664,0.056774500000756234,2.0605472000024747,[0.004629629629629629],[0.2037037037037037],[1],[0],[0],[2.002770099992631],['target'],777365,001,2024-10-10_13h19.09.791,visual search,2024.2.1post4,59.98296484094683,2024-10-10 13h19.22.096664 +0530,
1,0,1,[-0.42685185185185187],[0.42407407407407405],[1],[0],[0],[3.0041231000068365],['target'],1,0,1,0,2.1041385999997146,,5,2.0847897000057856,2.1041385999997146,2.1041385999997146,0.023896999991848134,5.089368500004639,[-0.42685185185185187],[0.42407407407407405],[1],[0],[0],[3.0041231000068365],['target'],777365,001,2024-10-10_13h19.09.791,visual search,2024.2.1post4,59.98296484094683,2024-10-10 13h19.22.096664 +0530,
2,0,2,[-0.42685185185185187],[0.42407407407407405],[1],[0],[0],[0.2700345999910496],[None],2,0,2,0,5.154162599996198,,10,5.127819100001943,5.154162599996198,5.154162599996198,0.03824329999042675,5.398528499994427,[-0.42685185185185187],[0.42407407407407405],[1],[0],[0],[0.2700345999910496],[None],777365,001,2024-10-10_13h19.09.791,visual search,2024.2.1post4,59.98296484094683,2024-10-10 13h19.22.096664 +0530,
3,0,3,[0.037037037037037035],[0.375],[1],[0],[0],[1.815617399988696],['target'],3,0,3,0,5.460886100001517,,10,5.441798500003642,5.460886100001517,5.460886100001517,0.04286159999901429,7.258209999999963,[0.037037037037037035],[0.375],[1],[0],[0],[1.815617399988696],['target'],777365,001,2024-10-10_13h19.09.791,visual search,2024.2.1post4,59.98296484094683,2024-10-10 13h19.22.096664 +0530,
4,0,4,[0.39351851851851855],[0.14444444444444443],[1],[0],[0],[2.3000010999967344],['target'],4,0,4,0,7.322080600002664,,5,7.290527399993152,7.322080600002664,7.322080600002664,0.0319110999989789,9.59119869999995,[0.39351851851851855],[0.14444444444444443],[1],[0],[0],[2.3000010999967344],['target'],777365,001,2024-10-10_13h19.09.791,visual search,2024.2.1post4,59.98296484094683,2024-10-10 13h19.22.096664 +0530,
5,0,5,[-0.018518518518518517],[0.32592592592592595],[1],[0],[0],[1.8908642000023974],['target'],5,0,5,0,9.63796170000569,,5,9.615136899999925,9.63796170000569,9.63796170000569,0.023604600006365217,11.506663799998933,[-0.018518518518518517],[0.32592592592592595],[1],[0],[0],[1.8908642000023974],['target'],777365,001,2024-10-10_13h19.09.791,visual search,2024.2.1post4,59.98296484094683,2024-10-10 13h19.22.096664 +0530,
6,0,6,[0.2861111111111111],[-0.17407407407407408],[1],[0],[0],[2.6737565999937942],['target'],6,0,6,0,11.588039399997797,,10,11.565828999999212,11.588039399997797,11.588039399997797,0.058830100009799935,14.240148299999419,[0.2861111111111111],[-0.17407407407407408],[1],[0],[0],[2.6737565999937942],['target'],777365,001,2024-10-10_13h19.09.791,visual search,2024.2.1post4,59.98296484094683,2024-10-10 13h19.22.096664 +0530,
7,0,7,[-0.2462962962962963],[0.4083333333333333],[1],[0],[0],[1.8875037999969209],['target'],7,0,7,0,14.287923700001556,,5,14.260968599992339,14.287923700001556,14.287923700001556,0.020565099999657832,16.149034599991865,[-0.2462962962962963],[0.4083333333333333],[1],[0],[0],[1.8875037999969209],['target'],777365,001,2024-10-10_13h19.09.791,visual search,2024.2.1post4,59.98296484094683,2024-10-10 13h19.22.096664 +0530,
8,0,8,[0.1685185185185185],[0.22962962962962963],[1],[0],[0],[1.6504640999919502],['target'],8,0,8,0,16.190195400005905,,5,16.17341000000306,16.190195400005905,16.190195400005905,0.024033800000324845,17.82461749999493,[0.1685185185185185],[0.22962962962962963],[1],[0],[0],[1.6504640999919502],['target'],777365,001,2024-10-10_13h19.09.791,visual search,2024.2.1post4,59.98296484094683,2024-10-10 13h19.22.096664 +0530,
9,0,9,[-0.27037037037037037],[-0.425],[1],[0],[0],[2.749209300003713],['target'],9,0,9,0,17.88834659999702,,5,17.858084099992993,17.88834659999702,17.88834659999702,0.03315499999735039,20.60794590000296,[-0.27037037037037037],[-0.425],[1],[0],[0],[2.749209300003713],['target'],777365,001,2024-10-10_13h19.09.791,visual search,2024.2.1post4,59.98296484094683,2024-10-10 13h19.22.096664 +0530,
