thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixtion.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[0.16166666666666665],[-0.013333333333333334],[1],[0],[0],[3.575363300000163],['target'],0,0,0,0,0.06361940000010691,,10,0.04585659999997915,0.06361940000010691,0.06361940000010691,0.04558769999994183,3.621636200000239,[0.16166666666666665],[-0.013333333333333334],[1],[0],[0],[3.575363300000163],['target'],887105,001,2024-10-10_14h07.04.051,visual search,2024.2.1post4,59.996424213172304,2024-10-10 14h07.10.875101 +0530,
1,0,1,[0.43833333333333335],[-0.11166666666666666],[1],[0],[0],[3.888457500000186],['target'],1,0,1,0,3.6647882999998274,,10,3.649137799999835,3.6647882999998274,3.6647882999998274,0.02728530000013052,7.53798780000011,[0.43833333333333335],[-0.11166666666666666],[1],[0],[0],[3.888457500000186],['target'],887105,001,2024-10-10_14h07.04.051,visual search,2024.2.1post4,59.996424213172304,2024-10-10 14h07.10.875101 +0530,
2,0,2,[-0.47333333333333333],[0.48833333333333334],[1],[0],[0],[4.954121799999939],['target'],2,0,2,0,7.581049000000121,,10,7.566134400000237,7.581049000000121,7.581049000000121,0.027928399999836984,12.520635999999968,[-0.47333333333333333],[0.48833333333333334],[1],[0],[0],[4.954121799999939],['target'],887105,001,2024-10-10_14h07.04.051,visual search,2024.2.1post4,59.996424213172304,2024-10-10 14h07.10.875101 +0530,
3,0,3,[-0.12166666666666667],[0.13833333333333334],[1],[0],[0],[1.60430580000002],['target'],3,0,3,0,12.54865790000008,,5,12.533815699999877,12.54865790000008,12.54865790000008,0.01301259999991089,14.138513499999817,[-0.12166666666666667],[0.13833333333333334],[1],[0],[0],[1.60430580000002],['target'],887105,001,2024-10-10_14h07.04.051,visual search,2024.2.1post4,59.996424213172304,2024-10-10 14h07.10.875101 +0530,
4,0,4,[-0.205],[0.12333333333333334],[1],[0],[0],[1.297907099999975],['target'],4,0,4,0,14.190607499999942,,10,14.173003199999812,14.190607499999942,14.190607499999942,0.034356600000137405,15.471346999999923,[-0.205],[0.12333333333333334],[1],[0],[0],[1.297907099999975],['target'],887105,001,2024-10-10_14h07.04.051,visual search,2024.2.1post4,59.996424213172304,2024-10-10 14h07.10.875101 +0530,
5,0,5,[-0.03666666666666667],[-0.06666666666666667],[1],[0],[0],[1.7248702999995658],['target'],5,0,5,0,15.510895799999844,,10,15.496457399999827,15.510895799999844,15.510895799999844,0.024946600000021135,17.22181979999982,[-0.03666666666666667],[-0.06666666666666667],[1],[0],[0],[1.7248702999995658],['target'],887105,001,2024-10-10_14h07.04.051,visual search,2024.2.1post4,59.996424213172304,2024-10-10 14h07.10.875101 +0530,
6,0,6,[0.31666666666666665],[-0.2683333333333333],[1],[0],[0],[1.7821834999999737],['target'],6,0,6,0,17.25105499999995,,5,17.238366899999846,17.25105499999995,17.25105499999995,0.016363900000214926,19.020922500000097,[0.31666666666666665],[-0.2683333333333333],[1],[0],[0],[1.7821834999999737],['target'],887105,001,2024-10-10_14h07.04.051,visual search,2024.2.1post4,59.996424213172304,2024-10-10 14h07.10.875101 +0530,
7,0,7,[0.31],[-0.19],[1],[0],[0],[1.4712360999997145],['target'],7,0,7,0,19.04890649999993,,5,19.034367099999827,19.04890649999993,19.04890649999993,0.013305899999977555,20.506011300000182,[0.31],[-0.19],[1],[0],[0],[1.4712360999997145],['target'],887105,001,2024-10-10_14h07.04.051,visual search,2024.2.1post4,59.996424213172304,2024-10-10 14h07.10.875101 +0530,
8,0,8,[0.44],[-0.4066666666666667],[1],[0],[0],[2.317087100000208],['target'],8,0,8,0,20.532307000000174,,5,20.520225699999855,20.532307000000174,20.532307000000174,0.014048799999727635,22.837694099999908,[0.44],[-0.4066666666666667],[1],[0],[0],[2.317087100000208],['target'],887105,001,2024-10-10_14h07.04.051,visual search,2024.2.1post4,59.996424213172304,2024-10-10 14h07.10.875101 +0530,
9,0,9,[0.2733333333333333],[-0.3233333333333333],[1],[0],[0],[4.037358300000051],['target'],9,0,9,0,22.865729599999895,,5,22.85086350000006,22.865729599999895,22.865729599999895,0.01302880000002915,26.88865890000011,[0.2733333333333333],[-0.3233333333333333],[1],[0],[0],[4.037358300000051],['target'],887105,001,2024-10-10_14h07.04.051,visual search,2024.2.1post4,59.996424213172304,2024-10-10 14h07.10.875101 +0530,
10,0,10,[0.0033333333333333335],[-0.14666666666666667],[1],[0],[0],[1.5529615999998896],['target'],10,0,10,0,26.91589390000013,,5,26.902189700000008,26.91589390000013,26.91589390000013,0.013380899999901885,28.45553750000022,[0.0033333333333333335],[-0.14666666666666667],[1],[0],[0],[1.5529615999998896],['target'],887105,001,2024-10-10_14h07.04.051,visual search,2024.2.1post4,59.996424213172304,2024-10-10 14h07.10.875101 +0530,
11,0,11,[0.41],[0.05333333333333334],[1],[0],[0],[2.0174873999999363],['target'],11,0,11,0,28.482701199999838,,5,28.471555299999864,28.482701199999838,28.482701199999838,0.015844499999730033,30.489471199999798,[0.41],[0.05333333333333334],[1],[0],[0],[2.0174873999999363],['target'],887105,001,2024-10-10_14h07.04.051,visual search,2024.2.1post4,59.996424213172304,2024-10-10 14h07.10.875101 +0530,
12,0,12,[-0.25166666666666665],[-0.08333333333333333],[1],[0],[0],[2.067236100000173],['target'],12,0,12,0,30.536430299999893,,10,30.521905899999865,30.536430299999893,30.536430299999893,0.03222679999998945,32.58955300000002,[-0.25166666666666665],[-0.08333333333333333],[1],[0],[0],[2.067236100000173],['target'],887105,001,2024-10-10_14h07.04.051,visual search,2024.2.1post4,59.996424213172304,2024-10-10 14h07.10.875101 +0530,
