4.9349 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'pos': 50, 'corr_resp': 'c', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
4.9372 	DATA 	Keypress: v
4.9497 	EXP 	fixation: autoDraw = False
4.9497 	EXP 	line1: autoDraw = False
4.9497 	EXP 	line2: autoDraw = False
4.9497 	EXP 	line3: autoDraw = False
4.9497 	EXP 	line4: autoDraw = False
4.9497 	EXP 	probe: autoDraw = False
4.9497 	EXP 	fixation: autoDraw = True
5.9498 	EXP 	fixation: autoDraw = False
5.9498 	EXP 	line1: autoDraw = True
5.9498 	EXP 	line2: autoDraw = True
5.9498 	EXP 	line3: autoDraw = True
5.9498 	EXP 	line4: autoDraw = True
6.9505 	INFO 	Keyboard events cleared
6.9499 	EXP 	probe: autoDraw = True
7.4852 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'pos': -150, 'corr_resp': 'z', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
7.4875 	DATA 	Keypress: c
7.4998 	EXP 	fixation: autoDraw = False
7.4998 	EXP 	line1: autoDraw = False
7.4998 	EXP 	line2: autoDraw = False
7.4998 	EXP 	line3: autoDraw = False
7.4998 	EXP 	line4: autoDraw = False
7.4998 	EXP 	probe: autoDraw = False
7.4998 	EXP 	fixation: autoDraw = True
8.4999 	EXP 	fixation: autoDraw = False
8.4999 	EXP 	line1: autoDraw = True
8.4999 	EXP 	line2: autoDraw = True
8.4999 	EXP 	line3: autoDraw = True
8.4999 	EXP 	line4: autoDraw = True
9.5006 	INFO 	Keyboard events cleared
9.5000 	EXP 	probe: autoDraw = True
9.8357 	EXP 	New trial (rep=1, index=0): <Trial 4 (0 in rep 1) data={'pos': -50, 'corr_resp': 'x', 'thisN': 4, 'thisTrialN': 0, 'thisRepN': 1}>
9.8384 	DATA 	Keypress: z
9.8500 	EXP 	fixation: autoDraw = False
9.8500 	EXP 	line1: autoDraw = False
9.8500 	EXP 	line2: autoDraw = False
9.8500 	EXP 	line3: autoDraw = False
9.8500 	EXP 	line4: autoDraw = False
9.8500 	EXP 	probe: autoDraw = False
9.8500 	EXP 	fixation: autoDraw = True
10.8501 	EXP 	fixation: autoDraw = False
10.8501 	EXP 	line1: autoDraw = True
10.8501 	EXP 	line2: autoDraw = True
10.8501 	EXP 	line3: autoDraw = True
10.8501 	EXP 	line4: autoDraw = True
11.8507 	INFO 	Keyboard events cleared
11.8501 	EXP 	probe: autoDraw = True
12.4355 	EXP 	New trial (rep=1, index=1): <Trial 5 (1 in rep 1) data={'pos': 150, 'corr_resp': 'v', 'thisN': 5, 'thisTrialN': 1, 'thisRepN': 1}>
12.4378 	DATA 	Keypress: x
12.4500 	EXP 	fixation: autoDraw = False
12.4500 	EXP 	line1: autoDraw = False
12.4500 	EXP 	line2: autoDraw = False
12.4500 	EXP 	line3: autoDraw = False
12.4500 	EXP 	line4: autoDraw = False
12.4500 	EXP 	probe: autoDraw = False
12.4500 	EXP 	fixation: autoDraw = True
13.4502 	EXP 	fixation: autoDraw = False
13.4502 	EXP 	line1: autoDraw = True
13.4502 	EXP 	line2: autoDraw = True
13.4502 	EXP 	line3: autoDraw = True
13.4502 	EXP 	line4: autoDraw = True
14.4420 	INFO 	Keyboard events cleared
14.4414 	EXP 	probe: autoDraw = True
14.9269 	EXP 	New trial (rep=1, index=2): <Trial 6 (2 in rep 1) data={'pos': 50, 'corr_resp': 'c', 'thisN': 6, 'thisTrialN': 2, 'thisRepN': 1}>
14.9292 	DATA 	Keypress: v
14.9414 	EXP 	fixation: autoDraw = False
14.9414 	EXP 	line1: autoDraw = False
14.9414 	EXP 	line2: autoDraw = False
14.9414 	EXP 	line3: autoDraw = False
14.9414 	EXP 	line4: autoDraw = False
14.9414 	EXP 	probe: autoDraw = False
14.9414 	EXP 	fixation: autoDraw = True
15.9415 	EXP 	fixation: autoDraw = False
15.9415 	EXP 	line1: autoDraw = True
15.9415 	EXP 	line2: autoDraw = True
15.9415 	EXP 	line3: autoDraw = True
15.9415 	EXP 	line4: autoDraw = True
16.9422 	INFO 	Keyboard events cleared
16.9416 	EXP 	probe: autoDraw = True
17.2938 	EXP 	New trial (rep=1, index=3): <Trial 7 (3 in rep 1) data={'pos': -150, 'corr_resp': 'z', 'thisN': 7, 'thisTrialN': 3, 'thisRepN': 1}>
17.2964 	DATA 	Keypress: c
17.3084 	EXP 	fixation: autoDraw = False
17.3084 	EXP 	line1: autoDraw = False
17.3084 	EXP 	line2: autoDraw = False
17.3084 	EXP 	line3: autoDraw = False
17.3084 	EXP 	line4: autoDraw = False
17.3084 	EXP 	probe: autoDraw = False
17.3084 	EXP 	fixation: autoDraw = True
18.3082 	EXP 	fixation: autoDraw = False
18.3082 	EXP 	line1: autoDraw = True
18.3082 	EXP 	line2: autoDraw = True
18.3082 	EXP 	line3: autoDraw = True
18.3082 	EXP 	line4: autoDraw = True
19.3092 	INFO 	Keyboard events cleared
19.3085 	EXP 	probe: autoDraw = True
19.6100 	EXP 	New trial (rep=2, index=0): <Trial 8 (0 in rep 2) data={'pos': -50, 'corr_resp': 'x', 'thisN': 8, 'thisTrialN': 0, 'thisRepN': 2}>
19.6123 	DATA 	Keypress: z
19.6249 	EXP 	fixation: autoDraw = False
19.6249 	EXP 	line1: autoDraw = False
19.6249 	EXP 	line2: autoDraw = False
19.6249 	EXP 	line3: autoDraw = False
19.6249 	EXP 	line4: autoDraw = False
19.6249 	EXP 	probe: autoDraw = False
19.6249 	EXP 	fixation: autoDraw = True
20.6252 	EXP 	fixation: autoDraw = False
20.6252 	EXP 	line1: autoDraw = True
20.6252 	EXP 	line2: autoDraw = True
20.6252 	EXP 	line3: autoDraw = True
20.6252 	EXP 	line4: autoDraw = True
21.6260 	INFO 	Keyboard events cleared
21.6253 	EXP 	probe: autoDraw = True
21.9441 	EXP 	New trial (rep=2, index=1): <Trial 9 (1 in rep 2) data={'pos': 150, 'corr_resp': 'v', 'thisN': 9, 'thisTrialN': 1, 'thisRepN': 2}>
21.9465 	DATA 	Keypress: x
21.9585 	EXP 	fixation: autoDraw = False
21.9585 	EXP 	line1: autoDraw = False
21.9585 	EXP 	line2: autoDraw = False
21.9585 	EXP 	line3: autoDraw = False
21.9585 	EXP 	line4: autoDraw = False
21.9585 	EXP 	probe: autoDraw = False
21.9585 	EXP 	fixation: autoDraw = True
