reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
11,30,7,0,0,0,t,3.7083534999983385,None,0,0,0,0,0.20634690002771094,,0.18758780002826825,0.20634690002771094,1.006606200011447,1.006606200011447,1.2061335000325926,4.7312606000341475,t,3.7083534999983385,None,103354,001,2024-11-18_12h02.20.444,delay_discounting,2024.2.1post4,60.04606734413178,2024-11-18 12h02.31.412653 +0530,
40,55,62,1,1,0,l,1.726862599956803,None,0,1,1,3,4.7586519999895245,,4.744957700022496,4.7586519999895245,5.739641199994367,5.739641199994367,5.772948099998757,7.475268199981656,l,1.726862599956803,None,103354,001,2024-11-18_12h02.20.444,delay_discounting,2024.2.1post4,60.04606734413178,2024-11-18 12h02.31.412653 +0530,
27,50,21,2,2,0,l,0.7427697000093758,None,0,2,2,2,7.494908699998632,,7.482525200000964,7.494908699998632,8.481755600019824,8.481755600019824,8.49833370000124,9.232942700036801,l,0.7427697000093758,None,103354,001,2024-11-18_12h02.20.444,delay_discounting,2024.2.1post4,60.04606734413178,2024-11-18 12h02.31.412653 +0530,
67,75,119,3,3,0,l,None,None,0,3,3,5,9.25632670003688,,9.240341200027615,9.25632670003688,10.23984220001148,10.23984220001148,10.256472999986727,10.3917352000135,l,None,None,103354,001,2024-11-18_12h02.20.444,delay_discounting,2024.2.1post4,60.04606734413178,2024-11-18 12h02.31.412653 +0530,
15,35,13,4,4,0,l,0.06856889999471605,None,0,4,4,1,10.410950999998022,,10.399101599992719,10.410950999998022,11.398600800021086,11.398600800021086,11.415143300022464,11.48337700002594,l,0.06856889999471605,None,103354,001,2024-11-18_12h02.20.444,delay_discounting,2024.2.1post4,60.04606734413178,2024-11-18 12h02.31.412653 +0530,
49,60,89,5,5,0,t,0.2214942999999039,None,0,5,5,4,11.506527699995786,,11.48999090003781,11.506527699995786,12.48998070001835,12.48998070001835,12.50675770000089,12.724969600036275,t,0.2214942999999039,None,103354,001,2024-11-18_12h02.20.444,delay_discounting,2024.2.1post4,60.04606734413178,2024-11-18 12h02.31.412653 +0530,
78,80,162,6,6,0,t,1.1994163999916054,None,0,6,6,6,12.744954900001176,,12.732449800008908,12.744954900001176,13.732019799994305,13.732019799994305,13.748633000010159,14.934418399992865,t,1.1994163999916054,None,103354,001,2024-11-18_12h02.20.444,delay_discounting,2024.2.1post4,60.04606734413178,2024-11-18 12h02.31.412653 +0530,
15,35,13,7,0,1,t,1.7075564000406303,None,1,0,7,1,14.956719000008889,,14.94189080002252,14.956719000008889,15.940087500028312,15.940087500028312,15.956772900011856,17.658812800014857,t,1.7075564000406303,None,103354,001,2024-11-18_12h02.20.444,delay_discounting,2024.2.1post4,60.04606734413178,2024-11-18 12h02.31.412653 +0530,
40,55,62,8,1,1,t,0.19862949999514967,None,1,1,8,3,17.678313300013542,,17.665863800037187,17.678313300013542,18.665561600006185,18.665561600006185,18.68216460000258,18.868016800028272,t,0.19862949999514967,None,103354,001,2024-11-18_12h02.20.444,delay_discounting,2024.2.1post4,60.04606734413178,2024-11-18 12h02.31.412653 +0530,
78,80,162,9,2,1,l,None,None,1,2,9,6,18.89026010001544,,18.87539330002619,18.89026010001544,19.873755700013135,19.873755700013135,19.89029330003541,19.97593900002539,l,None,None,103354,001,2024-11-18_12h02.20.444,delay_discounting,2024.2.1post4,60.04606734413178,2024-11-18 12h02.31.412653 +0530,
49,60,89,10,3,1,l,0.2824505000025965,None,1,3,10,4,19.99638920003781,,19.98382100003073,19.99638920003781,20.982383400027175,20.982383400027175,20.99896900000749,21.267787499993574,l,0.2824505000025965,None,103354,001,2024-11-18_12h02.20.444,delay_discounting,2024.2.1post4,60.04606734413178,2024-11-18 12h02.31.412653 +0530,
