reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,60,89,0,0,0,l,4.962374599999748,None,0,0,0,4,0.23630829999456182,,0.2182349999784492,0.23630829999456182,1.0010990999871865,1.0010990999871865,1.2512102000182495,5.978113799996208,l,4.962374599999748,None,467938,001,2024-11-18_11h57.56.947,delay_discounting,2024.2.1post4,59.911881610093054,2024-11-18 11h58.07.414715 +0530,
78,80,162,1,1,0,t,0.3960023000254296,None,0,1,1,6,6.00257110001985,,5.989581200003158,6.00257110001985,6.984931199986022,6.984931199986022,7.001584500016179,7.387129899987485,t,0.3960023000254296,None,467938,001,2024-11-18_11h57.56.947,delay_discounting,2024.2.1post4,59.911881610093054,2024-11-18 11h58.07.414715 +0530,
15,35,13,2,2,0,t,0.6920003999839537,None,0,2,2,1,7.41832960001193,,7.3977768999757245,7.41832960001193,8.401641200005542,8.401641200005542,8.418328500003554,9.103584599972237,t,0.6920003999839537,None,467938,001,2024-11-18_11h57.56.947,delay_discounting,2024.2.1post4,59.911881610093054,2024-11-18 11h58.07.414715 +0530,
11,30,7,3,3,0,l,0.3726443000487052,None,0,3,3,0,9.123560499981977,,9.111306699982379,9.123560499981977,10.110409200016875,10.110409200016875,10.127045499975793,10.495630699966568,l,0.3726443000487052,None,467938,001,2024-11-18_11h57.56.947,delay_discounting,2024.2.1post4,59.911881610093054,2024-11-18 11h58.07.414715 +0530,
40,55,62,4,4,0,t,0.3168336000526324,None,0,4,4,3,10.51842039998155,,10.50333390000742,10.51842039998155,11.501930199970957,11.501930199970957,11.51855209999485,11.82100439997157,t,0.3168336000526324,None,467938,001,2024-11-18_11h57.56.947,delay_discounting,2024.2.1post4,59.911881610093054,2024-11-18 11h58.07.414715 +0530,
27,50,21,5,5,0,t,0.3399908000137657,None,0,5,5,2,11.840801800019108,,11.828205499972682,11.840801800019108,12.827230099996086,12.827230099996086,12.843828100012615,13.178937199991196,t,0.3399908000137657,None,467938,001,2024-11-18_11h57.56.947,delay_discounting,2024.2.1post4,59.911881610093054,2024-11-18 11h58.07.414715 +0530,
67,75,119,6,6,0,l,0.40538469998864457,None,0,6,6,5,13.20191820000764,,13.186824099975638,13.20191820000764,14.185246900015045,14.185246900015045,14.20189849997405,14.603915499988943,l,0.40538469998864457,None,467938,001,2024-11-18_11h57.56.947,delay_discounting,2024.2.1post4,59.911881610093054,2024-11-18 11h58.07.414715 +0530,
78,80,162,7,0,1,l,0.30078779999166727,None,1,0,7,6,14.624039799964521,,14.611124599992763,14.624039799964521,15.610711199988145,15.610711199988145,15.627296999969985,15.928736199974082,l,0.30078779999166727,None,467938,001,2024-11-18_11h57.56.947,delay_discounting,2024.2.1post4,59.911881610093054,2024-11-18 11h58.07.414715 +0530,
11,30,7,8,1,1,l,0.23298970004543662,None,1,1,8,0,15.952015599992592,,15.936921999964397,15.952015599992592,16.93538969999645,16.93538969999645,16.95205189997796,17.17107159999432,l,0.23298970004543662,None,467938,001,2024-11-18_11h57.56.947,delay_discounting,2024.2.1post4,59.911881610093054,2024-11-18 11h58.07.414715 +0530,
27,50,21,9,2,1,l,0.23189019999699667,None,1,2,9,2,17.191166699980386,,17.17888069996843,17.191166699980386,18.177479000005405,18.177479000005405,18.194059600005858,18.412481800012756,l,0.23189019999699667,None,467938,001,2024-11-18_11h57.56.947,delay_discounting,2024.2.1post4,59.911881610093054,2024-11-18 11h58.07.414715 +0530,
