14.0479 	INFO 	Loaded monitor calibration from ['2024_08_09 00:19']
14.0970 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
14.7929 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000165C851BD90>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000165C8518070>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000165C851A0E0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000165C7AD8B20>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.7931 	EXP 	window1: backgroundImage = ''
14.7931 	EXP 	window1: backgroundFit = 'none'
14.7936 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000165C851BC70>
14.7961 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000165C851BC70>
14.8127 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000165C851BC70>
14.8153 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000165C851BC70>
14.9177 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000165C851BC70>
14.9180 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000165C851BC70>
14.9198 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000165C851BC70>
14.9225 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000165C851BC70>
14.9536 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
14.9536 	EXP 	window1: recordFrameIntervals = False
15.4017 	EXP 	window1: recordFrameIntervals = True
15.4926 	WARNING 	t of last frame was 24.39ms (=1/40)
15.5310 	WARNING 	t of last frame was 21.70ms (=1/46)
15.6094 	WARNING 	t of last frame was 22.51ms (=1/44)
15.8984 	EXP 	Screen (0) actual frame rate measured at 58.87Hz
15.8985 	EXP 	window1: recordFrameIntervals = False
15.8990 	EXP 	window1: mouseVisible = True
20.2460 	INFO 	keyboard.Keyboard is using iohub backend.
20.2461 	EXP 	wordpriming: status = STARTED
20.2465 	EXP 	window1: mouseVisible = True
20.3246 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
20.3881 	EXP 	window1: mouseVisible = True
20.3956 	EXP 	window1: mouseVisible = True
20.3959 	EXP 	window1: mouseVisible = True
20.3982 	EXP 	window1: mouseVisible = True
20.4005 	EXP 	window1: mouseVisible = True
20.4174 	EXP 	window1: mouseVisible = True
20.4175 	EXP 	window1: mouseVisible = True
20.4182 	EXP 	window1: mouseVisible = True
20.4189 	EXP 	window1: mouseVisible = True
20.4267 	EXP 	window1: mouseVisible = True
20.4269 	EXP 	window1: mouseVisible = True
20.4276 	EXP 	window1: mouseVisible = True
20.4283 	EXP 	window1: mouseVisible = True
20.4471 	EXP 	window1: mouseVisible = True
20.4473 	EXP 	window1: mouseVisible = True
20.4490 	EXP 	window1: mouseVisible = True
20.4507 	EXP 	window1: mouseVisible = True
20.4617 	EXP 	window1: mouseVisible = True
20.4744 	EXP 	window1: mouseVisible = True
20.4943 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=['Familiar', 'Unfamiliar'], lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.3]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=[], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
20.4945 	EXP 	window1: mouseVisible = True
