reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,60,89,0,0,0,l,3.1542332000099123,None,0,0,0,4,0.378598699986469,,0.36152460001176223,0.378598699986469,1.0212154000182636,1.0212154000182636,1.3879160999786109,4.251581699994858,l,3.1542332000099123,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
15,35,13,1,1,0,t,1.4755121000343934,None,0,1,1,1,4.27115829999093,,4.258987999986857,4.27115829999093,5.2547603999846615,5.2547603999846615,5.27141779998783,6.740383299998939,t,1.4755121000343934,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
78,80,162,2,2,0,l,0.8453109999536537,None,0,2,2,6,6.771563499991316,,6.752023299981374,6.771563499991316,7.754860699991696,7.754860699991696,7.771607099974062,8.606344199972227,l,0.8453109999536537,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
27,50,21,3,3,0,t,1.1476790999877267,None,0,3,3,2,8.621682199998759,,8.609885999991093,8.621682199998759,9.621618999983184,9.621618999983184,9.621618999983184,10.773454700014554,t,1.1476790999877267,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
40,55,62,4,4,0,l,1.2862637999933213,None,0,4,4,3,10.791151400015224,,10.7792119999649,10.791151400015224,11.788582400011364,11.788582400011364,11.805045999994036,13.090512999973726,l,1.2862637999933213,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
11,30,7,5,5,0,t,0.9842500999802724,None,0,5,5,0,13.111402300011832,,13.098494299978483,13.111402300011832,14.097052700002678,14.097052700002678,14.113581000012346,15.09858729998814,t,0.9842500999802724,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
67,75,119,6,6,0,l,2.4239802000229247,None,0,6,6,5,15.121581699990202,,15.109705000009853,15.121581699990202,16.105068999982905,16.105068999982905,16.12177809997229,18.540631900017615,l,2.4239802000229247,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
27,50,21,7,0,1,t,0.6926032999763265,None,1,0,7,2,18.56129729998065,,18.548801199998707,18.56129729998065,19.547433600004297,19.547433600004297,19.564006500004325,20.24923449999187,t,0.6926032999763265,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
78,80,162,8,1,1,l,0.5085553999524564,None,1,1,8,6,20.271930999995675,,20.257302000012714,20.271930999995675,21.255488599999808,21.255488599999808,21.272156699968036,21.7738956999965,l,0.5085553999524564,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
11,30,7,9,2,1,t,0.40439039998454973,None,1,2,9,0,21.79382219997933,,21.781053700018674,21.79382219997933,22.78084039996611,22.78084039996611,22.797485299990512,23.199261099973228,t,0.40439039998454973,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
40,55,62,10,3,1,l,0.5180126000195742,None,1,3,10,3,23.222290600009728,,23.20775279996451,23.222290600009728,24.205599799985066,24.205599799985066,24.222344600013457,24.740608699969016,l,0.5180126000195742,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
49,60,89,11,4,1,t,0.2838226000312716,None,1,4,11,4,24.75944769999478,,24.747517700016033,24.75944769999478,25.75566590001108,25.75566590001108,25.77235089999158,26.04183080000803,t,0.2838226000312716,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
67,75,119,12,5,1,l,1.042861099995207,None,1,5,12,5,26.06147159996908,,26.048984399996698,26.06147159996908,27.047729199985042,27.047729199985042,27.064322799968068,28.099660900013987,l,1.042861099995207,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
15,35,13,13,6,1,t,0.9524877999792807,None,1,6,13,1,28.122435899975244,,28.107485999993514,28.122435899975244,29.105804099992383,29.105804099992383,29.122684800007846,30.074346599983983,t,0.9524877999792807,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
78,80,162,14,0,2,t,2.5340913999825716,None,2,0,14,6,30.094313299981877,,30.081991699989885,30.094313299981877,31.08136219996959,31.08136219996959,31.097823999996763,33.632670699968,t,2.5340913999825716,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
67,75,119,15,1,2,l,3.077935000008438,None,2,1,15,5,33.656009799975436,,33.6411338999751,33.656009799975436,34.63934920000611,34.63934920000611,34.65610189997824,37.72510370000964,l,3.077935000008438,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
11,30,7,16,2,2,l,1.6617739000357687,None,2,2,16,0,37.745819700008724,,37.73374529997818,37.745819700008724,38.731613599986304,38.731613599986304,38.74814599996898,40.400280500005465,l,1.6617739000357687,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
15,35,13,17,3,2,l,1.5846857000142336,None,2,3,17,1,40.4230182999745,,40.40752209996572,40.4230182999745,41.406391399970744,41.406391399970744,41.42304720001994,43.00918619998265,l,1.5846857000142336,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
40,55,62,18,4,2,t,2.9252391000045463,None,2,4,18,3,43.028229899995495,,43.01655950001441,43.028229899995495,44.015066599997226,44.015066599997226,44.03162249998422,46.950268999964464,t,2.9252391000045463,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
49,60,89,19,5,2,t,1.5408040000475012,None,2,5,19,4,46.97328939998988,,46.95749599998817,46.97328939998988,47.95663620001869,47.95663620001869,47.97325759998057,49.50839590001851,t,1.5408040000475012,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
27,50,21,20,6,2,l,1.551915799966082,None,2,6,20,2,49.528325899969786,,49.51606359996367,49.528325899969786,50.51548760000151,50.51548760000151,50.53206820000196,52.08388589997776,l,1.551915799966082,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
49,60,89,21,0,3,t,2.037723699992057,None,3,0,21,4,52.1068012000178,,52.091514399973676,52.1068012000178,53.09025710000424,53.09025710000424,53.10673790000146,55.14157109998632,t,2.037723699992057,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
11,30,7,22,1,3,l,0.6067993000033312,None,3,1,22,0,55.160901099967305,,55.148480999981984,55.160901099967305,56.15698430000339,56.15698430000339,56.1736702999915,56.77574369998183,l,0.6067993000033312,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
78,80,162,23,2,3,t,0.34779880003770813,None,3,2,23,6,56.79338629997801,,56.781532699998934,56.79338629997801,57.790508100006264,57.790508100006264,57.80805039999541,58.14278840000043,t,0.34779880003770813,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
40,55,62,24,3,3,l,0.7616276000044309,None,3,3,24,3,58.16225489997305,,58.14989479997894,58.16225489997305,59.149158900021575,59.149158900021575,59.16576469998108,59.91782999999123,l,0.7616276000044309,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
27,50,21,25,4,3,l,0.2850596999633126,None,3,4,25,2,59.9405107999919,,59.926440400013234,59.9405107999919,60.92399079998722,60.92399079998722,60.940355199971236,61.22560840001097,l,0.2850596999633126,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
15,35,13,26,5,3,l,0.371798999956809,None,3,5,26,1,61.24489649996394,,61.232886900019366,61.24489649996394,62.2326330000069,62.2326330000069,62.24924189999001,62.617846700013615,l,0.371798999956809,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
67,75,119,27,6,3,l,0.33121350000146776,None,3,6,27,5,62.64068929996574,,62.625572699995246,62.64068929996574,63.62405069998931,63.62405069998931,63.64218109997455,63.959409400005825,l,0.33121350000146776,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
27,50,21,28,0,4,t,0.6778742000460625,None,4,0,28,2,63.97850359999575,,63.96610239997972,63.97850359999575,64.96609930001432,64.96609930001432,64.9826686999877,65.65122339996742,t,0.6778742000460625,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
67,75,119,29,1,4,t,0.6523844000184909,None,4,1,29,5,65.67415239999536,,65.6587854999816,65.67415239999536,66.6574540999718,66.6574540999718,66.67429429996992,67.32681860000594,t,0.6523844000184909,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
15,35,13,30,2,4,t,0.9955398000311106,None,4,2,30,1,67.34525929996744,,67.33353930001613,67.34525929996744,68.33293949998915,68.33293949998915,68.34950890002074,69.33488959999522,t,0.9955398000311106,None,060477,001,2024-11-18_11h54.18.859,delay_discounting,2024.2.1post4,60.89392279506346,2024-11-18 11h54.28.963114 +0530,
