study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
board,0,0,0,2.0037037037037035,3.9476223000001482,,,,,,,,,,,,0,0,0,13,,,,,0.06330259999958798,,0.0316765999996278,0.06330259999958798,0.06330259999958798,3.9991083000004437,2.0037037037037035,3.9476223000001482,,,,,,,,,,,,,,,807020,001,2024-11-03_03h37.37.003,wordpriming,2024.2.1post4,59.96411747221703,2024-11-03 03h37.44.485715 +0530,
police,1,1,0,2.988888888888889,3.3271683000002668,,,,,,,,,,,,0,1,1,11,,,,,4.025724500000251,,4.004215300000396,4.025724500000251,4.025724500000251,7.360923000000184,2.988888888888889,3.3271683000002668,,,,,,,,,,,,,,,807020,001,2024-11-03_03h37.37.003,wordpriming,2024.2.1post4,59.96411747221703,2024-11-03 03h37.44.485715 +0530,
cushion,2,2,0,2.988888888888889,1.4091808000002857,,,,,,,,,,,,0,2,2,3,,,,,7.392682100000457,,7.37222600000041,7.392682100000457,7.392682100000457,8.81108359999962,2.988888888888889,1.4091808000002857,,,,,,,,,,,,,,,807020,001,2024-11-03_03h37.37.003,wordpriming,2024.2.1post4,59.96411747221703,2024-11-03 03h37.44.485715 +0530,
phone,3,3,0,4.974074074074074,3.882349299999987,,,,,,,,,,,,0,3,3,5,,,,,8.842778899999757,,8.816429000000426,8.842778899999757,8.842778899999757,12.727732800000013,4.974074074074074,3.882349299999987,,,,,,,,,,,,,,,807020,001,2024-11-03_03h37.37.003,wordpriming,2024.2.1post4,59.96411747221703,2024-11-03 03h37.44.485715 +0530,
laptop,4,4,0,4.974074074074074,2.56561099999999,,,,,,,,,,,,0,4,4,7,,,,,12.759522000000288,,12.732510800000455,12.759522000000288,12.759522000000288,15.328005700000176,4.974074074074074,2.56561099999999,,,,,,,,,,,,,,,807020,001,2024-11-03_03h37.37.003,wordpriming,2024.2.1post4,59.96411747221703,2024-11-03 03h37.44.485715 +0530,
keys,5,5,0,3.977777777777778,2.1438939999998183,,,,,,,,,,,,0,5,5,10,,,,,15.359515400000419,,15.336527399999795,15.359515400000419,15.359515400000419,17.501708800000415,3.977777777777778,2.1438939999998183,,,,,,,,,,,,,,,807020,001,2024-11-03_03h37.37.003,wordpriming,2024.2.1post4,59.96411747221703,2024-11-03 03h37.44.485715 +0530,
tiger,6,6,0,1,3.219407399999909,,,,,,,,,,,,0,6,6,1,,,,,17.533867400000418,,17.511899099999937,17.533867400000418,17.533867400000418,20.761862199999996,1,3.219407399999909,,,,,,,,,,,,,,,807020,001,2024-11-03_03h37.37.003,wordpriming,2024.2.1post4,59.96411747221703,2024-11-03 03h37.44.485715 +0530,
camera,7,7,0,1,1.582234000000426,,,,,,,,,,,,0,7,7,6,,,,,20.79320370000005,,20.767093000000386,20.79320370000005,20.79320370000005,22.37856329999977,1,1.582234000000426,,,,,,,,,,,,,,,807020,001,2024-11-03_03h37.37.003,wordpriming,2024.2.1post4,59.96411747221703,2024-11-03 03h37.44.485715 +0530,
pastry,8,8,0,1.0,2.9130224999998973,,,,,,,,,,,,0,8,8,8,,,,,22.410068500000307,,22.384791999999834,22.410068500000307,22.410068500000307,25.32897959999991,1.0,2.9130224999998973,,,,,,,,,,,,,,,807020,001,2024-11-03_03h37.37.003,wordpriming,2024.2.1post4,59.96411747221703,2024-11-03 03h37.44.485715 +0530,
mouse,9,9,0,2.996296296296296,1.8123703999999634,,,,,,,,,,,,0,9,9,14,,,,,25.360095600000022,,25.33676639999976,25.360095600000022,25.360095600000022,27.17901499999971,2.996296296296296,1.8123703999999634,,,,,,,,,,,,,,,807020,001,2024-11-03_03h37.37.003,wordpriming,2024.2.1post4,59.96411747221703,2024-11-03 03h37.44.485715 +0530,
